dataset,algorithm,k,g,p,Run_Time,KG_Time,Main_Time,Ng_Time,N^g_Count,num_kg_node,num_kg_edge,num_remain_node,num_remain_edge
Aminer,ASAP,6,6,0.4,1063.1763,1048.895,12.522,2.1763,26604.0,30054.0,17120546.0,25431.0,81212.0
Aminer,ASAP,6,6,0.6,1060.313,1046.0553,12.4886,2.049,35782.0,30054.0,17120546.0,15103.0,22268.0
Aminer,ASAP,6,6,0.8,1050.7054,1037.3429,11.7154,0.7421,34749.0,30054.0,17120546.0,3352.0,3955.0
Aminer,ASAP,6,6,1.0,1060.4949,1047.2634,11.5437,0.0911,30366.0,30054.0,17120546.0,447.0,720.0
Aminer,ASAP,6,7,0.0,1053.9401,1048.9352,3.2641,0.0,0.0,21581.0,17120546.0,21581.0,17120546.0
Aminer,ASAP,6,7,0.2,1056.2316,1044.6853,9.9129,1.0167,8348.0,21581.0,17120546.0,21254.0,173083.0
Aminer,ASAP,6,7,0.4,1055.6583,1042.3493,11.6322,1.8408,20458.0,21581.0,17120546.0,17373.0,54903.0
Aminer,ASAP,6,7,0.6,1063.5231,1049.8596,11.9442,1.6028,25601.0,21581.0,17120546.0,9815.0,14626.0
Aminer,ASAP,6,7,1.0,1054.3483,1041.9409,10.7674,0.0567,21682.0,21581.0,17120546.0,300.0,557.0
Aminer,ASAP,7,3,0.0,1048.9373,1044.0834,3.1569,0.0,0.0,118040.0,17120546.0,118040.0,17120546.0
Aminer,ASAP,7,3,0.2,1108.3416,1095.9418,10.7802,1.5385,23528.0,118040.0,17120546.0,117039.0,815485.0
Aminer,ASAP,7,3,0.4,1104.1019,1086.5589,15.8736,4.0881,87614.0,118040.0,17120546.0,106586.0,305767.0
Aminer,ASAP,7,3,0.6,1055.2729,1036.1067,17.5211,4.6828,128766.0,118040.0,17120546.0,81671.0,95294.0
Aminer,ASAP,7,3,0.8,1059.9211,1041.6115,16.6498,2.9695,145421.0,118040.0,17120546.0,36173.0,22406.0
Aminer,ASAP,7,3,1.0,1119.2112,1103.2161,14.3269,0.4654,123341.0,118040.0,17120546.0,5589.0,3021.0
Aminer,ASAP,7,4,0.0,1050.7281,1045.9218,3.1379,0.0,0.0,55027.0,17120546.0,55027.0,17120546.0
Aminer,ASAP,7,4,0.2,1046.8148,1035.041,10.1527,1.2577,14079.0,55027.0,17120546.0,54469.0,383601.0
Aminer,ASAP,7,4,0.4,1102.6208,1087.9744,12.9852,2.7008,41888.0,55027.0,17120546.0,49361.0,138435.0
Aminer,ASAP,7,4,0.6,1054.5264,1038.4299,14.4184,2.9855,62181.0,55027.0,17120546.0,34962.0,40743.0
Aminer,ASAP,7,4,0.8,1057.2845,1042.1877,13.4409,1.6644,66748.0,55027.0,17120546.0,12402.0,9138.0
Aminer,ASAP,7,4,1.0,1062.1832,1048.3056,12.1897,0.1742,56417.0,55027.0,17120546.0,1238.0,1029.0
Aminer,ASAP,7,5,0.0,1048.2733,1043.453,3.1114,0.0,0.0,33733.0,17120546.0,33733.0,17120546.0
Aminer,ASAP,7,5,0.2,1048.2137,1036.3619,10.24,1.127,10383.0,33733.0,17120546.0,33309.0,238856.0
Aminer,ASAP,7,5,0.4,1056.2666,1042.7231,11.8788,2.1302,27624.0,33733.0,17120546.0,29420.0,81160.0
Aminer,ASAP,7,5,0.6,1034.3395,1020.3334,12.4092,2.1567,39366.0,33733.0,17120546.0,19544.0,22955.0
Aminer,ASAP,7,5,0.8,1047.7727,1034.3063,11.8332,0.997,40175.0,33733.0,17120546.0,5170.0,4639.0
Aminer,ASAP,7,5,1.0,1048.1836,1035.3755,11.1928,0.0974,34168.0,33733.0,17120546.0,512.0,615.0
Aminer,ASAP,7,6,0.0,1041.9014,1037.1978,3.0485,0.0,0.0,23111.0,17120546.0,23111.0,17120546.0
Aminer,ASAP,7,6,0.2,1056.0383,1044.3514,9.9494,1.0363,8451.0,23111.0,17120546.0,22735.0,165741.0
Aminer,ASAP,7,6,0.4,1054.4298,1041.4991,11.2605,1.787,20399.0,23111.0,17120546.0,19619.0,53680.0
Aminer,ASAP,7,6,0.6,1088.2502,1075.0283,11.5725,1.6751,27114.0,23111.0,17120546.0,12167.0,14656.0
Aminer,ASAP,7,6,0.8,1054.9033,1042.0777,11.1358,0.6059,26621.0,23111.0,17120546.0,2841.0,2946.0
Aminer,ASAP,7,6,1.0,1048.7617,1036.3969,10.7335,0.0585,23330.0,23111.0,17120546.0,306.0,495.0
Aminer,ASAP,7,7,0.0,1080.2644,1075.3651,3.2427,0.0,0.0,17009.0,17120546.0,17009.0,17120546.0
